Index,AI0(V)
535,-0.12515
536,-0.12673
537,-0.12509
538,-0.12812
539,-0.12162
540,-0.13007
541,-0.13052
542,-0.12421
543,-0.12799
544,-0.12799
545,-0.12768
546,-0.12578
547,-0.12755
548,-0.12395
549,-0.12313
550,-0.12049
551,-0.12572
552,-0.13045
553,-0.13064
554,-0.12976
555,-0.13001
556,-0.12496
557,-0.129
558,-0.12894
559,-0.12717
560,-0.12395
561,-0.12799
562,-0.12358
563,-0.12591
564,-0.12389
565,-0.12124
566,-0.12585
567,-0.12225
568,-0.12187
569,-0.12711
570,-0.12793
571,-0.12768
572,-0.12843
573,-0.12478
574,-0.12036
575,-0.12648
576,-0.12604
577,-0.12717
578,-0.12824
579,-0.12824
580,-0.12446
581,-0.12168
582,-0.12332
583,-0.12705
584,-0.12433
585,-0.1285
586,-0.12793
587,-0.12471
588,-0.12433
589,-0.12402
590,-0.12351
591,-0.11834
592,-0.12351
593,-0.12856
594,-0.12843
595,-0.12635
596,-0.11916
597,-0.12629
598,-0.12522
599,-0.12642
600,-0.12471
601,-0.12288
602,-0.12446
603,-0.12806
604,-0.1249
605,-0.12686
606,-0.12604
607,-0.12408
608,-0.12648
609,-0.12541
610,-0.1266
611,-0.12787
612,-0.12534
613,-0.12869
614,-0.12843
615,-0.12427
616,-0.12547
617,-0.13083
618,-0.12875
619,-0.12553
620,-0.12913
621,-0.1278
622,-0.12654
623,-0.12724
624,-0.12648
625,-0.12534
626,-0.1261
627,-0.12257
628,-0.1232
629,-0.12389
630,-0.12206
631,-0.12351
632,-0.1266
633,-0.12578
634,-0.12377
635,-0.12547
636,-0.12206
637,-0.12162
638,-0.12326
639,-0.12383
640,-0.12213
641,-0.12654
642,-0.12471
643,-0.12572
644,-0.12528
645,-0.12402
646,-0.12395
647,-0.12515
648,-0.12604
649,-0.12705
650,-0.12295
651,-0.12433
652,-0.12522
653,-0.12673
654,-0.13052
655,-0.12452
656,-0.12427
657,-0.12749
658,-0.1266
659,-0.12736
660,-0.12541
661,-0.13228
662,-0.12503
663,-0.12705
664,-0.1249
665,-0.12749
666,-0.12711
667,-0.12812
668,-0.12452
669,-0.1261
670,-0.13014
671,-0.12414
672,-0.12799
673,-0.12925
674,-0.12553
675,-0.12591
676,-0.12623
677,-0.12705
678,-0.12572
679,-0.12635
680,-0.13443
681,-0.12724
682,-0.12339
683,-0.13052
684,-0.12894
685,-0.12446
686,-0.12112
687,-0.12522
688,-0.12118
689,-0.12768
690,-0.12642
691,-0.12484
692,-0.122
693,-0.12061
694,-0.12869
695,-0.12313
696,-0.12295
697,-0.12843
698,-0.1244
699,-0.12484
700,-0.12597
701,-0.12629
702,-0.1256
703,-0.129
704,-0.12761
705,-0.12648
706,-0.12919
707,-0.12635
708,-0.12553
709,-0.13115
710,-0.12705
711,-0.12642
712,-0.1273
713,-0.12724
714,-0.12452
715,-0.12307
716,-0.12976
717,-0.1261
718,-0.12276
719,-0.12837
720,-0.12894
721,-0.13007
722,-0.13165
723,-0.12446
