timeStamp/s,positon/mm,q,velocity(mm/s),coil,E/uV,accelerator(mm/s^2),gyroscope(deg/s)
1655298231.7630155,"(3.699559167967257, 99.93154287792574, 300)","(0.9998288425473776, 0, 0, 0.018500962417434718)","(4.996577143896287, -0.18497795839836284, 0)",10,15.6317367172057,"(-0.009248897919918142, -4.996577143896287, 9800.0)","(0, 0, 125.66370614359172)"
1655298231.8130155,"(3.74952992514027, 99.92968040247341, 300)","(0.9998241855508232, 0, 0, 0.018750946312998912)","(4.99648402012367, -0.18747649625701351, 0)",11,9.291148803714325,"(-0.009373824812850675, -4.99648402012367, 9800.0)","(0, 0, 125.66370614359172)"
1655298231.8630154,"(3.7994997447263077, 99.92779293915093, 300)","(0.9998194660516241, 0, 0, 0.019000929036373286)","(4.996389646957547, -0.1899749872363154, 0)",12,3.227552420775444,"(-0.009498749361815769, -4.996389646957547, 9800.0)","(0, 0, 125.66370614359172)"
1655298231.9130154,"(3.8494686142301893, 99.92588048843031, 300)","(0.9998146840500751, 0, 0, 0.019250910571930503)","(4.996294024421515, -0.19247343071150946, 0)",13,5.392141626319304,"(-0.009623671535575473, -4.996294024421515, 9800.0)","(0, 0, 125.66370614359172)"
1655298231.9630156,"(3.8994365211569715, 99.92394305078972, 300)","(0.9998098395464753, 0, 0, 0.01950089090404331)","(4.996197152539486, -0.19497182605784857, 0)",14,5.4969538034827625,"(-0.009748591302892429, -4.996197152539486, 9800.0)","(0, 0, 125.66370614359172)"
1655298232.0130155,"(3.9494034530119535, 99.92198062671365, 300)","(0.9998049325411273, 0, 0, 0.019750870017084525)","(4.996099031335683, -0.1974701726505977, 0)",15,3.4193340859301653,"(-0.009873508632529884, -4.996099031335683, 9800.0)","(0, 0, 125.66370614359172)"
1655298232.0630155,"(3.9993693973006774, 99.91999321669279, 300)","(0.9997999630343382, 0, 0, 0.02000084789542705)","(4.99599966083464, -0.1999684698650339, 0)",0,14.943545558802613,"(-0.009998423493251694, -4.99599966083464, 9800.0)","(0, 0, 125.66370614359172)"
1655298232.1130154,"(4.049334341528931, 99.91798082122413, 300)","(0.9997949310264184, 0, 0, 0.02025082452344386)","(4.995899041061207, -0.20246671707644656, 0)",1,27.769371608091323,"(-0.010123335853822328, -4.995899041061207, 9800.0)","(0, 0, 125.66370614359172)"
1655298232.1630154,"(4.099298273202753, 99.91594344081088, 300)","(0.9997898365176825, 0, 0, 0.020500799885507997)","(4.995797172040543, -0.20496491366013767, 0)",2,28.50301605583287,"(-0.010248245683006883, -4.995797172040543, 9800.0)","(0, 0, 125.66370614359172)"
1655298232.2130156,"(4.149261179828438, 99.91388107596245, 300)","(0.9997846795084491, 0, 0, 0.02075077396599261)","(4.995694053798123, -0.20746305899142187, 0)",3,16.0088870982702,"(-0.010373152949571094, -4.995694053798123, 9800.0)","(0, 0, 125.66370614359172)"
1655298232.2630155,"(4.199223048912531, 99.91179372719459, 300)","(0.9997794599990405, 0, 0, 0.02100074674927089)","(4.99558968635973, -0.20996115244562655, 0)",4,14.924816033376064,"(-0.010498057622281327, -4.99558968635973, 9800.0)","(0, 0, 125.66370614359172)"
1655298232.3130155,"(4.249183867961841, 99.90968139502925, 300)","(0.999774177989783, 0, 0, 0.02125071821971614)","(4.995484069751463, -0.21245919339809208, 0)",5,27.76546129651151,"(-0.010622959669904604, -4.995484069751463, 9800.0)","(0, 0, 125.66370614359172)"
1655298232.3630154,"(4.299143624483441, 99.9075440799946, 300)","(0.9997688334810068, 0, 0, 0.02150068836170174)","(4.9953772039997295, -0.21495718122417207, 0)",6,28.535962529042504,"(-0.010747859061208603, -4.9953772039997295, 9800.0)","(0, 0, 125.66370614359172)"
1655298232.4130154,"(4.349102305984664, 99.9053817826251, 300)","(0.999763426473046, 0, 0, 0.021750657159601137)","(4.995269089131255, -0.2174551152992332, 0)",7,16.043601035917334,"(-0.01087275576496166, -4.995269089131255, 9800.0)","(0, 0, 125.66370614359172)"
1655298232.4630156,"(4.399059899973116, 99.90319450346145, 300)","(0.9997579569662385, 0, 0, 0.022000624597787875)","(4.995159725173072, -0.21995299499865578, 0)",8,8.721306907980276,"(-0.01099764974993279, -4.995159725173072, 9800.0)","(0, 0, 125.66370614359172)"
1655298232.5130155,"(4.449016393956674, 99.90098224305056, 300)","(0.9997524249609264, 0, 0, 0.022250590660635585)","(4.995049112152528, -0.22245081969783367, 0)",9,15.278114214560722,"(-0.011122540984891684, -4.995049112152528, 9800.0)","(0, 0, 125.66370614359172)"
1655298232.5630155,"(4.49897177544349, 99.89874500194566, 300)","(0.9997468304574555, 0, 0, 0.02250055533251798)","(4.994937250097283, -0.22494858877217447, 0)",10,15.668533677726394,"(-0.011247429438608724, -4.994937250097283, 9800.0)","(0, 0, 125.66370614359172)"
1655298232.6130154,"(4.548926031941993, 99.89648278070615, 300)","(0.9997411734561755, 0, 0, 0.022750518597808852)","(4.994824139035307, -0.22744630159709966, 0)",11,9.350141056823654,"(-0.011372315079854983, -4.994824139035307, 9800.0)","(0, 0, 125.66370614359172)"
1655298232.6630154,"(4.598879150960896, 99.89419557989771, 300)","(0.99973545395744, 0, 0, 0.023000480440882095)","(4.994709778994886, -0.2299439575480448, 0)",12,3.209178751616063,"(-0.01149719787740224, -4.994709778994886, 9800.0)","(0, 0, 125.66370614359172)"
1655298232.7130156,"(4.648831120009195, 99.8918834000923, 300)","(0.9997296719616066, 0, 0, 0.023250440846111685)","(4.994594170004615, -0.23244155600045974, 0)",13,5.382818981052605,"(-0.011622077800022987, -4.994594170004615, 9800.0)","(0, 0, 125.66370614359172)"
1655298232.7630155,"(4.698781926596172, 99.88954624186805, 300)","(0.9997238274690367, 0, 0, 0.023500399797871687)","(4.9944773120934025, -0.23493909632980858, 0)",14,5.509290242765351,"(-0.01174695481649043, -4.9944773120934025, 9800.0)","(0, 0, 125.66370614359172)"
1655298232.8130155,"(4.748731558231401, 99.88718410580938, 300)","(0.9997179204800957, 0, 0, 0.023750357280536257)","(4.994359205290469, -0.23743657791157005, 0)",15,3.4405994262088693,"(-0.011871828895578503, -4.994359205290469, 9800.0)","(0, 0, 125.66370614359172)"
1655298232.8630154,"(4.798680002424752, 99.88479699250696, 300)","(0.9997119509951529, 0, 0, 0.024000313278479644)","(4.994239849625348, -0.23993400012123758, 0)",0,14.839177022714209,"(-0.01199670000606188, -4.994239849625348, 9800.0)","(0, 0, 125.66370614359172)"
1655298232.9130154,"(4.848627246686387, 99.88238490255772, 300)","(0.9997059190145813, 0, 0, 0.024250267776076195)","(4.9941192451278855, -0.2424313623343194, 0)",1,27.68918598884755,"(-0.01212156811671597, -4.9941192451278855, 9800.0)","(0, 0, 125.66370614359172)"
1655298232.9630156,"(4.898573278526774, 99.87994783656478, 300)","(0.9996998245387582, 0, 0, 0.02450022075770034)","(4.993997391828239, -0.2449286639263387, 0)",2,28.566400795268308,"(-0.012246433196316934, -4.993997391828239, 9800.0)","(0, 0, 125.66370614359172)"
1655298233.0130155,"(4.948518085456678, 99.87748579513757, 300)","(0.9996936675680645, 0, 0, 0.024750172207726608)","(4.993874289756879, -0.2474259042728339, 0)",3,16.113242879665382,"(-0.012371295213641696, -4.993874289756879, 9800.0)","(0, 0, 125.66370614359172)"
